avg_payment_delay,payment_ratio,missed_payments,balance,tenure_months,prior_contact_rate,num_calls_last_30,region,age_bucket,rpc_prob,rpc_label
7.18103816960771,0.6820367539572625,2,923.76,75,0.3294257732402693,1,South,31-45,0.3476362003308045,0
4.483394190646763,0.44033474525753563,2,1199.09,105,0.45929930612512965,1,East,18-30,0.28565149548301744,1
4.146850753112861,0.2796767362457713,1,1137.8,84,0.2181045695243847,0,East,18-30,0.2052331828488544,0
4.146906882995402,0.7684103682132051,3,4229.92,45,0.45727641407185377,2,Central,31-45,0.02762774750314996,0
13.949143236691953,0.5678623120049857,0,1778.25,34,0.23443047702018216,4,West,31-45,0.13753330179406817,0
8.600118692892666,0.33981913106712086,1,938.62,42,0.5735408113380965,2,South,31-45,0.30139826958254873,0
3.393234005222697,0.5911924920301124,0,1868.96,85,0.7577698730565762,2,South,31-45,0.32281995108086087,0
7.4094434202936394,0.7498682830081246,2,641.15,115,0.6872799405947303,1,South,46-60,0.549730743351442,1
5.996880792193941,0.7805153685785319,2,2408.72,81,0.2216475897945998,3,East,31-45,0.12933921957558073,0
0.6477448304717562,0.739778240478453,1,3204.71,95,0.3170697431026294,3,North,31-45,0.09897971369159421,0
2.0137268480631185,0.5608937207706389,1,4408.23,55,0.10825904200448318,1,North,31-45,0.015277206246148893,0
6.31849691204449,0.8188864299463805,0,52.15,94,0.278661693850729,4,South,18-30,0.690255808687488,1
13.095530602450586,0.6959133541239635,1,512.53,80,0.3347885688433651,0,East,60+,0.3826401983798587,0
4.1755565548774385,0.5247515620115162,3,271.1,36,0.12804248524178954,1,North,18-30,0.3991280632171925,0
3.174082317162911,0.47657820161121583,0,1648.4,37,0.34625089372888174,2,Central,31-45,0.22880536581591435,0
5.442022624416497,0.7392586362926145,3,442.56,62,0.45337467486076627,4,North,46-60,0.5576449837966707,0
3.0158534421542926,0.873793653222723,0,930.64,8,0.1650122841307193,0,Central,46-60,0.4257056027593571,0
3.9532241434175655,0.8187338169118611,0,2308.42,24,0.15657799164795064,0,East,60+,0.13704101635663918,0
4.947907436820794,0.7326444504060496,1,2854.12,89,0.11282210635953485,7,North,31-45,0.10537974989428094,0
1.9204119145316505,0.8266773982704295,1,1392.29,9,0.1926200704201498,0,West,18-30,0.2968902584670233,0
8.910180282639418,1.0,0,900.35,22,0.46165566032052713,2,West,46-60,0.513695184830442,1
1.6055443388371202,0.7575670696794787,0,98.48,39,0.37720903331831857,1,South,18-30,0.6846542321187046,1
1.4183803315040202,0.7314848278707339,3,2005.36,32,0.4350660604164177,1,West,18-30,0.1956606983455626,0
5.801851253664404,0.8089209879757326,0,1861.87,41,0.3029251623764503,1,North,46-60,0.23744519315724424,1
8.440061423937152,0.850063114672104,2,403.62,73,0.04417546021973718,1,North,46-60,0.44130901402796696,1
5.693506723071211,0.43282301922806055,1,1959.32,46,0.44103711372908533,1,Central,18-30,0.14819235532240416,0
4.565337531253802,0.7354244610587951,1,394.36,98,0.1894415856159107,3,Central,31-45,0.5550689591809332,1
3.9221443049504225,0.9007737245182035,1,1686.06,19,0.232790618244132,1,West,18-30,0.26308580637359036,1
3.4197294920599512,1.0,3,239.08,21,0.2498189879560151,1,East,18-30,0.60938225765175,1
10.313397901558348,0.7040375416036463,4,3650.71,104,0.2941528889408083,2,South,46-60,0.02498915209214676,0
6.363131818169766,0.6091455719254467,2,761.37,27,0.298097665906254,3,South,31-45,0.36514756327897263,1
