avg_payment_delay,payment_ratio,missed_payments,balance,tenure_months,prior_contact_rate,num_calls_last_30,region,age_bucket,rpc_label,cluster,_rpc_label
7.18103816960771,0.6820367539572625,2,923.76,75,0.3294257732402693,1,South,31-45,0,0,0
4.483394190646763,0.4403347452575356,2,1199.09,105,0.4592993061251296,1,East,18-30,1,0,1
4.146850753112861,0.2796767362457713,1,1137.8,84,0.2181045695243847,0,East,18-30,0,0,0
4.146906882995402,0.7684103682132051,3,4229.92,45,0.4572764140718537,2,Central,31-45,0,2,0
13.949143236691953,0.5678623120049857,0,1778.25,34,0.2344304770201821,4,West,31-45,0,1,0
8.600118692892666,0.3398191310671208,1,938.62,42,0.5735408113380965,2,South,31-45,0,1,0
3.393234005222697,0.5911924920301124,0,1868.96,85,0.7577698730565762,2,South,31-45,0,0,0
7.409443420293639,0.7498682830081246,2,641.15,115,0.6872799405947303,1,South,46-60,1,0,1
5.996880792193941,0.7805153685785319,2,2408.72,81,0.2216475897945998,3,East,31-45,0,0,0
0.6477448304717562,0.739778240478453,1,3204.71,95,0.3170697431026294,3,North,31-45,0,2,0
2.0137268480631185,0.5608937207706389,1,4408.23,55,0.1082590420044831,1,North,31-45,0,2,0
6.31849691204449,0.8188864299463805,0,52.15,94,0.278661693850729,4,South,18-30,1,0,1
13.095530602450586,0.6959133541239635,1,512.53,80,0.3347885688433651,0,East,60+,0,0,0
4.175556554877439,0.5247515620115162,3,271.1,36,0.1280424852417895,1,North,18-30,0,1,0
3.174082317162911,0.4765782016112158,0,1648.4,37,0.3462508937288817,2,Central,31-45,0,1,0
5.442022624416497,0.7392586362926145,3,442.56,62,0.4533746748607662,4,North,46-60,0,0,0
3.0158534421542926,0.873793653222723,0,930.64,8,0.1650122841307193,0,Central,46-60,0,1,0
3.9532241434175655,0.8187338169118611,0,2308.42,24,0.1565779916479506,0,East,60+,0,1,0
4.947907436820794,0.7326444504060496,1,2854.12,89,0.1128221063595348,7,North,31-45,0,2,0
1.9204119145316505,0.8266773982704295,1,1392.29,9,0.1926200704201498,0,West,18-30,0,1,0
8.910180282639418,1.0,0,900.35,22,0.4616556603205271,2,West,46-60,1,1,1
1.6055443388371202,0.7575670696794787,0,98.48,39,0.3772090333183185,1,South,18-30,1,1,1
1.4183803315040202,0.7314848278707339,3,2005.36,32,0.4350660604164177,1,West,18-30,0,1,0
5.801851253664404,0.8089209879757326,0,1861.87,41,0.3029251623764503,1,North,46-60,1,1,1
8.440061423937152,0.850063114672104,2,403.62,73,0.0441754602197371,1,North,46-60,1,0,1
5.693506723071211,0.4328230192280605,1,1959.32,46,0.4410371137290853,1,Central,18-30,0,1,0
4.565337531253802,0.7354244610587951,1,394.36,98,0.1894415856159107,3,Central,31-45,1,0,1
3.922144304950423,0.9007737245182036,1,1686.06,19,0.232790618244132,1,West,18-30,1,1,1
3.4197294920599512,1.0,3,239.08,21,0.2498189879560151,1,East,18-30,1,1,1
10.313397901558348,0.7040375416036463,4,3650.71,104,0.2941528889408083,2,South,46-60,0,2,0
6.363131818169766,0.6091455719254467,2,761.37,27,0.298097665906254,3,South,31-45,1,1,1
3.6519564409759626,0.7329937438910546,0,1385.59,91,0.4714659622705932,3,West,46-60,0,0,0
2.809819587934672,0.5712167403180914,1,347.31,86,0.3525907091548813,0,West,18-30,1,0,1
7.762856870123621,1.0,1,2868.73,5,0.5468879320703984,2,North,31-45,0,1,0
10.150325020206653,0.7961738056337289,0,5174.27,11,0.7524194560066374,3,East,46-60,0,2,0
9.543629345408666,0.6894837091802715,1,545.95,41,0.3672487459770904,0,East,31-45,0,1,0
2.403141144634041,0.922715125240562,0,342.98,35,0.5003206598665106,4,Central,31-45,1,1,1
3.895493403862873,0.4693160712516026,1,1154.34,84,0.3571812137150524,3,East,18-30,0,0,0
3.364304902560296,0.2856061775824196,5,4753.88,4,0.4350507611569496,1,North,18-30,0,2,0
4.3148643473579655,0.7843422925200972,0,2160.82,23,0.1247692220062422,1,East,18-30,0,1,0
8.853265570089768,0.9147950236530248,0,6179.46,81,0.1987556243578266,2,East,46-60,0,2,0
12.306787371621631,0.6715391808601799,1,3124.98,4,0.2587729742417054,1,East,31-45,0,1,0
6.535461420925496,0.5641769641590013,0,1739.78,48,0.3610810028182141,1,North,31-45,1,1,1
2.894533869276652,0.5086394238792464,0,306.16,28,0.0913873977228506,4,North,18-30,1,1,1
4.862525894666712,0.4531049124863089,1,3187.13,10,0.1887141760205952,7,North,18-30,1,2,1
13.837618605220754,0.8330344233639636,1,1397.38,11,0.1457043195279626,1,North,31-45,0,1,0
